代號,名稱,市場,產業別,一年(β),市值(億),成立年數,近3年平均ROE(%),近3年加權平均ROE(%),最新單季ROE(%),PER,累月營收年增(%),最新季度負債總額佔比(%),現金股利連配次數,成交價現金殖利率,一年(σ年),僑外投資持股(%),本國法人持股(%),最新近4Q每股自由金流(元)
1240,茂生農經,櫃,農業科技業,-0.09,26,58.6,6.66,8.9,3.63,11.9,-5.43,31,9,4.59,23.2,3.79,20.4,4.85
1259,安心,櫃,觀光餐旅,0.38,18.9,34.8,5.17,4.59,0.91,65.4,-1.04,62.5,15,2.06,23.9,26.2,49,1.45
1264,德麥,櫃,食品工業,0.27,111,36.2,21.1,21.3,5.49,14.4,0.75,27.1,12,4.83,15.9,1.54,13.1,14.4
1268,漢來美食,櫃,觀光餐旅,0.53,66.1,22.7,14,16.1,3.24,15.7,5.08,68.9,10,4.79,19.2,1.28,79.4,15
1294,漢田生技,櫃,食品工業,,25.6,17.9,30,30.1,4.74,17.2,-9.26,33.3,3,3.79,,0.28,28.9,6.18
1295,生合,櫃,食品工業,,46.2,25.3,13.2,14.3,5.58,23.8,2.27,55.5,4,2.61,,2.1,29,-11.6
1336,台翰,櫃,電子零組件業,1.08,13.6,38.1,8.19,8.04,-0.26,11.5,1.56,42.3,8,5.4,40.1,6.05,42.8,-2.46
1565,精華,櫃,生技醫療業,0.77,71.6,39,12.4,11.6,0.46,11.5,-1.85,21.4,22,6.69,31.2,17.4,11.8,13.2
1569,濱川,櫃,電腦及週邊設備業,1.25,74.1,42.5,-0.27,-3.77,-10.4,,13.1,60.6,-1,0,68,3.01,12.8,-4.65
1570,力肯,櫃,電機機械,0.92,13.8,41.7,8.75,8.73,0.01,16.4,-25.3,16.9,10,4.87,32.6,5.73,4.68,0.65
1580,新麥,櫃,電機機械,0.63,68.6,42,19.8,21.3,5.42,10.9,6,35.1,20,6.59,21.4,6.07,14.4,14.1
1584,精剛,櫃,其他業,0.81,58.2,23.4,10.9,10.3,-1.12,92.8,-14.4,36.8,4,2.79,40.8,1.48,28,-6.13
1586,和勤,櫃,電機機械,0.38,29.3,32.9,0.49,0.43,-0.59,,-12.9,51.1,8,1.09,26.4,2.09,12.7,2.17
1591,駿吉-KY,櫃,電機機械,0.96,20.1,15.8,-0.48,-5.3,-5.73,,-46.3,8.72,-2,,50.2,2.8,6.53,-0.68
1593,祺驊,櫃,運動休閒,0.78,11.1,28.5,9.51,7.94,1.85,12.9,10.3,33.9,15,5.76,28.5,5.91,20.2,3.07
1595,川寶,櫃,電子零組件業,1.16,20.8,26.6,3.43,1.81,-2.07,,-13,33.8,17,1.3,63.8,1.53,28.2,2.5
1599,宏佳騰,櫃,電機機械,0.3,22.7,21.7,5.94,4.34,-2.6,30.4,-18.2,31.9,1,1.66,22.6,7.97,40,-1.65
1742,台蠟,櫃,化學工業,0.33,13.6,38.1,-0.07,2.51,-4.02,,-49.9,10,-3,0,22.4,0.28,39.4,17.6
1777,生泰,櫃,生技醫療業,0.65,33.3,42.9,13.8,14.1,0.69,11.1,3.77,18.1,24,7.1,23.9,2.3,48.2,11.9
1781,合世,櫃,生技醫療業,0.64,6.23,28.8,-2.47,-0.58,-10.9,,-45.2,49.1,-11,0,33.9,0.34,3.2,-0.99
1784,訊聯,櫃,生技醫療業,1.05,40.6,25.1,4.27,4.13,0.02,54.6,0.31,26.6,5,0,41.5,3.86,13.6,-8.01
1785,光洋科,櫃,其他電子業,1.16,362,47.1,11.1,11.5,-2.18,30.6,32.8,57.8,7,3.29,40.3,13.1,16.8,0.33
1788,杏昌,櫃,生技醫療業,0.17,61.7,36.6,13.4,12.8,3.3,18.3,3.38,43.1,22,5.05,8.6,10.6,38.7,8.23
1796,金穎生技,櫃,食品工業,0.68,24.4,26.2,7.87,5.45,0.11,,41.5,36.3,-1,0,39.9,0.74,42,-0.02
1799,易威,櫃,生技醫療業,0.86,55.9,27.1,-19.1,-17.8,-7.12,,12.1,45.6,-15,0,61.4,12.3,34.3,0.12
1813,寶利徠,櫃,生技醫療業,0.64,6.53,32,-2.5,-3.27,-7.45,,-0.69,31.2,-1,0,24.6,9.54,16.9,0.16
1815,富喬,櫃,電子零組件業,1.38,352,26.7,-2.67,-2.4,-0.43,130,49.3,49.9,-2,0,61.7,2.92,17.3,-2.53
2035,唐榮,櫃,鋼鐵工業,0.21,100,70.4,-14.7,-17.1,-14.6,,-14.8,83.2,-22,0,20.7,0.07,56.6,-6.75
2061,風青,櫃,電器電纜,1.04,9.93,31,-6.55,-4.68,-8.83,,2.28,45.5,-3,0,39,2.07,13,-0.27
2063,世鎧,櫃,鋼鐵工業,0.6,13.3,33.4,19.8,16.8,0.98,20.6,-13.3,52,17,7.25,27.1,1.37,40.6,-4.05
2064,晉椿,櫃,鋼鐵工業,0.49,9.29,54.4,-1.02,-2.33,-8.16,,-6.68,62,-2,0,27.7,0.09,26.7,2.38
2065,世豐,櫃,鋼鐵工業,0.72,19.6,52.1,16.8,14.7,-4.36,43.5,-13.1,51.3,14,,28,1.2,40.6,-7.25
2066,世德,櫃,電機機械,0.97,28.9,37.6,16.5,15.4,-2.95,32.7,-6.96,44.7,14,0,39.4,10.6,28.8,-0.92
2067,嘉鋼,櫃,電機機械,0.41,3.57,51.4,-21.2,-26.7,-13.1,,3.74,80.9,-6,0,48.5,11.2,36.8,-0.6
